,Product,date,predict,Unnamed: 0,actual,material_x,y,material_y,lower,upper,base,cmb_pred
49,DS100A,2020-07-01,533.063876297788,3,346.0,DS100A,,,,,DS100A,
50,DS100A,2020-08-01,556.1463532754876,4,458.0,DS100A,,,,,DS100A,
51,DS100A,2020-09-01,578.5927710970761,5,1029.0,DS100A,,,,,DS100A,
52,DS100A,2020-10-01,599.6165848423453,6,840.0,DS100A,,,,,DS100A,
53,DS100A,2020-11-01,620.8344408055065,7,492.0,DS100A,,,,,DS100A,
54,DS100A,2020-12-01,641.201003030533,8,671.0,DS100A,,,,,DS100A,
55,DS100A,2021-01-01,661.7648929076976,9,535.0,DS100A,,,,,DS100A,
56,DS100A,2021-02-01,681.8314287498703,10,793.0,DS100A,,,,,DS100A,
57,DS100A,2021-03-01,699.6873598413606,11,817.0,DS100A,,,,,DS100A,
58,DS100A,2021-04-01,718.5021112764916,12,641.0,DS100A,,,,,DS100A,
59,DS100A,2021-05-01,736.5458772915104,13,791.0,DS100A,,,,,DS100A,
60,DS100A,2021-06-01,754.8997758452163,14,897.0,DS100A,,,,,DS100A,
61,DS100A,2021-07-01,772.1383694295772,15,718.0,DS100A,,,,,DS100A,
62,DS100A,2021-08-01,789.9946940579412,16,706.0,DS100A,,,,,DS100A,
63,DS100A,2021-09-01,807.9063775897201,17,915.0,DS100A,,,,,DS100A,
64,DS100A,2021-10-01,825.2402648785386,18,605.0,DS100A,,,,,DS100A,
65,DS100A,2021-11-01,843.1519484103176,19,1076.0,DS100A,,,,,DS100A,
66,DS100A,2021-12-01,860.4858356991359,20,664.0,DS100A,,,,,DS100A,
67,DS100A,2022-01-01,878.397519230915,21,831.0,DS100A,860.9889256764116,DS100A,456.32912830343855,1265.6487230493844,DS100A,869.6932224536633
68,DS100A,2022-02-01,896.3092027626939,22,,,963.3949682996688,DS100A,557.3870013821304,1369.4029352172072,DS100A,929.8520855311813
69,DS100A,2022-03-01,912.4874975655911,23,,,842.7745190596107,DS100A,433.07507110912655,1252.4739670100948,DS100A,877.6310083126009
70,DS100A,2022-04-01,930.39918109737,24,,,932.427897198364,DS100A,498.4265879281296,1366.4292064685983,DS100A,931.413539147867
71,DS100A,2022-05-01,947.7330683861884,25,,,971.9329666800004,DS100A,487.7119580365264,1456.1539753234742,DS100A,959.8330175330943
72,DS100A,2022-06-01,965.6447519179675,26,,,993.457207729448,DS100A,504.2953984609164,1482.6190169979795,DS100A,979.5509798237077
73,DS100A,2022-07-01,982.9786392067858,27,,,974.9564879477116,DS100A,474.43922316643807,1475.4737527289851,DS100A,978.9675635772487
74,DS100A,2022-08-01,1000.8903227385648,28,,,1030.3286975222477,DS100A,506.5366423511482,1554.1207526933467,DS100A,1015.6095101304063
75,DS100A,2022-09-01,1018.8020062703439,29,,,1057.6773114045325,DS100A,513.5169999954635,1601.8376228136017,DS100A,1038.2396588374381
